,text,source,offset
0,"I fully agree that people nowadays do not give enough time to helping their communities , either because they think that they do not have the time or because they are money-tormented or because they think that they are not going to be able to make any drastic changes .",give;have,8;24
1,"People in past , however , use to dedicate time , money and effort for community service .",dedicate,8
2,"Some fellow students think that they do not have time to join an NGO and to help in raising money for the poor , because they do not follow a schedule .",have;follow,8;28
3,"Their time is eaten up by studying or by lazing about and when they are asked to make a few contributions such as helping in raising money for the poor or organizing a certain event , they would think that this is going to prevent them from getting good grades .",eaten;up,3;4
4,Some people are too money-tormented .,,
5,For them time is money .,time;is;money,2;3;4
6,So they do not want to waste their time by helping their communities .,waste,6
7,"I once tried to recruit a few people in order to teach some illiterate children , how to read and write .",,
8,The question I was asked was how much they were going to be paid and when they knew that it was for free the declined .,,
9,"When I reminded them of Doria Shafeek , an eminent feminist who used to buy children presents out of her own money to make them attend her reading and writing classes , they just shrugged their shoulders .",shrugged;shoulders,34;36
10,"Other people think that irrespective of the time and effort , they are going to put into helping their communities , they will not be able to effect any changes .",put;into,15;16
11,i can remember a girl who was asked to join a Red Cross training course and she was of the opinion that she was not skillful enough .,,
12,The woman responsible for recruiting people gave her a book on Florence Nightingale and how she started from scratch and what difference she made in the field of nursing and she talked to her about pampered women of society and princesses who used to pride themselves on how they learned how to nurse casualties of war .,from;scratch;pampered,17;18;35
13,This really boosted the girl s morale and made her join the course .,boosted,2
14,"Poeple do not give enough time for their communities , either because they are too busy or they are ignorant to the benefits they are going to reap or the difference they are going to make .",give;reap,3;27
15,I think there should be more conscience raising sessions to point out to people how important working for their community is,conscience,6
16,I do not think traveling in a group led by a tour guide is the best way to travel .,,
17,There are some reasons I do not prefer .,,
18,"First , tour will limit us where to go .",limit,4
19,Although it will be much cheaper than going alone the tour might not be as what you have thought .,,
20,"You might want to see around other places but since it is moving with group , you will not able to go by only your feelings .",,
21,"Secondly , the tour guide will decide the time they are looking , so you are not able to see it as long as you want .",,
22,"Different from traveling by yourself , a tour wants to go many place as possible to have more customers .",,
23,So they are not able to take enough time to see each place because they have to go next on time .,take;on,6;19
24,"This might be OK for some people , but others might think they are not satisfied .",,
25,"Thirdly , there will be many other people that you do not know each other .",,
26,This will make you feel tired and no privacy .,,
27,"It will make you feel tired by It is not only by yourself , so you have to make rules to have the trip smooth .",smooth,24
28,"But for any reason you are going to the trip , I think they want to get away from every day life .",,
29,So this will not let you feel freely if you have to make rules .,,
30,"From these reasons , I prefer traveling by ourselves might be the best way to travel .",,
31,"Traveling by ourselves might cost higher , but you are able to plan the trip freely as you think and do what ever you want to make it satisfied .",,
32,I am sure this kind of trip will be greater than going in a group led by a tour guide .,,
33,"For me , it is better to have a specialize in one specific subject than having broad knowledge of many academic subjects because it is easier for normal human study one subject and spend his time on it .",broad;spend,16;33
