,source,text
0,count (1),"2010 count of bicycle usage in Seattle ; Bicycle Use StatisticsFor more on the subject, see: Sound Politics Paying for Bicycle Traffic in Seattle "
1,see (16),"2010 count of bicycle usage in Seattle ; Bicycle Use StatisticsFor more on the subject, see: Sound Politics Paying for Bicycle Traffic in Seattle "
2,Traffic (25),"2010 count of bicycle usage in Seattle ; Bicycle Use StatisticsFor more on the subject, see: Sound Politics Paying for Bicycle Traffic in Seattle "
3,usage (4),"2010 count of bicycle usage in Seattle ; Bicycle Use StatisticsFor more on the subject, see: Sound Politics Paying for Bicycle Traffic in Seattle "
6,going (11),"According to Ms. Bumiller and Ms. Kopicki, 60 percent of Republican respondents said the war was going somewhat or very badly, up 20 percent since the poll in November."
7,percent (3),"According to Ms. Bumiller and Ms. Kopicki, 60 percent of Republican respondents said the war was going somewhat or very badly, up 20 percent since the poll in November."
8,poll (22),"According to Ms. Bumiller and Ms. Kopicki, 60 percent of Republican respondents said the war was going somewhat or very badly, up 20 percent since the poll in November."
9,Kopicki (6),"According to Ms. Bumiller and Ms. Kopicki, 60 percent of Republican respondents said the war was going somewhat or very badly, up 20 percent since the poll in November."
10,said (7),"According to Ms. Bumiller and Ms. Kopicki, 60 percent of Republican respondents said the war was going somewhat or very badly, up 20 percent since the poll in November."
11,severe (23),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
12,dropped (17),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
13,impact (9),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
14,other (27),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
15,escape (7),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
16,decline (15),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
17,report (60),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
19,Association (7),"According to numbers released by the Newspaper Association of America earlier this year, print advertising revenue dropped 28.6 % in 2009 to $24.82 billion. Although the Internet did not fully escape the impact of the recession, its decline in the United States was much less severe than that of other advertising media, the PwC report notes."
21,junior-high (25),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
22,hasn't (2),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
25,pays (39),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
26,making (21),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
27,lewd (22),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
28,own (46),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
30,fire (59),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
31,said (14),"Alan Rosenfeld hasn't set foot in a classroom for nearly a decade since he was accused in 2001 of making lewd comments to junior-high girls and staring at their butts, yet the department still pays him handsomely for sitting on his own butt seven hours a day. The DOE can't fire him. We have to abide by the union contract, spokeswoman Ann Forte said."
33,redesign (2),"A complete redesign of lifestyle worldwide is needed to reduce pollution by a huge amount, particularly in the US, China, and India, the three biggest polluters."
34,complete (1),"A complete redesign of lifestyle worldwide is needed to reduce pollution by a huge amount, particularly in the US, China, and India, the three biggest polluters."
35,reduce (9),"A complete redesign of lifestyle worldwide is needed to reduce pollution by a huge amount, particularly in the US, China, and India, the three biggest polluters."
36,biggest (28),"A complete redesign of lifestyle worldwide is needed to reduce pollution by a huge amount, particularly in the US, China, and India, the three biggest polluters."
38,huge (13),"A complete redesign of lifestyle worldwide is needed to reduce pollution by a huge amount, particularly in the US, China, and India, the three biggest polluters."
39,volunteered (32),"According to the responses from town halls, 2,629,052 homes have now been given bins with chips. Alex Deane of Big Brother Watch, said: The number of local councils placing microchips in bins is increasing, despite the fact that only one of them has volunteered to trial the Government's pay-as-you-throw scheme. Councils are waiting until the public aren't watching to begin surveillance on our waste habits, intruding into people's private lives and introducing punitive taxes on what we throw away."
