text,source,offset,predicted_label
"I fully agree that people nowadays do not give enough time to helping their communities , either because they think that they do not have the time or because they are money-oriented or because they think that they are not going to be able to make any drastic changes . 
",agree,2,0
"I fully agree that people nowadays do not give enough time to helping their communities , either because they think that they do not have the time or because they are money-oriented or because they think that they are not going to be able to make any drastic changes . 
",do,6,0
"I fully agree that people nowadays do not give enough time to helping their communities , either because they think that they do not have the time or because they are money-oriented or because they think that they are not going to be able to make any drastic changes . 
",give,8,0
"People in past , however , use to dedicate time , money and effort for community service . 
",use,6,0
"People in past , however , use to dedicate time , money and effort for community service . 
",dedicate,8,0
"Some fellow students think that they do not have time to join an NGO and to help in raising money for the poor , because they do not follow a schedule . 
",think,3,0
"Some fellow students think that they do not have time to join an NGO and to help in raising money for the poor , because they do not follow a schedule . 
",do,6,0
"Some fellow students think that they do not have time to join an NGO and to help in raising money for the poor , because they do not follow a schedule . 
",have,8,0
"Some fellow students think that they do not have time to join an NGO and to help in raising money for the poor , because they do not follow a schedule . 
",join,11,0
"Some fellow students think that they do not have time to join an NGO and to help in raising money for the poor , because they do not follow a schedule . 
",help,16,0
"So they do not want to waste their time by helping their communities . 
",do,2,0
"So they do not want to waste their time by helping their communities . 
",want,4,0
"So they do not want to waste their time by helping their communities . 
",waste,6,0
"Other people think that irrespective of the time and effort , they are going to put into helping their communities , they will not be able to effect any changes . 
",think,2,0
"Other people think that irrespective of the time and effort , they are going to put into helping their communities , they will not be able to effect any changes . 
",be,24,0
"i can remember a girl who was asked to join a Red Cross training course and she was of the opinion that she was not skillful enough . 
",remember,2,0
"Poeple do not give enough time for their communities , either because they are too busy or they are ignorant to the benefits they are going to reap or the difference they are going to make . 
",do,1,0
"Poeple do not give enough time for their communities , either because they are too busy or they are ignorant to the benefits they are going to reap or the difference they are going to make . 
",give,3,0
"I think there should be more conscience raising sessions to point out to people how important working for their community is
",think,1,0
"I think there should be more conscience raising sessions to point out to people how important working for their community is
",be,4,0
"I do not think traveling in a group led by a tour guide is the best way to travel . 
",do,1,0
"I do not think traveling in a group led by a tour guide is the best way to travel . 
",think,3,0
"I do not think traveling in a group led by a tour guide is the best way to travel . 
",travel,18,1
"Although it will be much cheaper than going alone the tour might not be as what you have thought . 
",be,3,0
"You might want to see around other places but since it is moving with group , you will not able to go by only your feelings . 
",want,2,0
"You might want to see around other places but since it is moving with group , you will not able to go by only your feelings . 
",see,4,0
"Secondly , the tour guide will decide the time they are looking , so you are not able to see it as long as you want . 
",decide,6,0
"This might be OK for some people , but others might think they are not satisfied . 
",be,2,0
"Thirdly , there will be many other people that you do not know each other . 
",be,4,0
"This will make you feel tired and no privercy . 
",make,2,0
"This will make you feel tired and no privercy . 
",feel,4,0
"It will make you feel tired by It is not only by yourself , so you have to make rules to have the trip smooth . 
",make,2,0
"It will make you feel tired by It is not only by yourself , so you have to make rules to have the trip smooth . 
",feel,4,0
"So this will not let you feel freely if you have to make rules . 
",let,4,0
"So this will not let you feel freely if you have to make rules . 
",feel,6,0
"So this will not let you feel freely if you have to make rules . 
",have,10,0
"So this will not let you feel freely if you have to make rules . 
",make,12,0
"From these reasons , I prefer traveling by ourselves might be the best way to travel . 
",prefer,5,0
"From these reasons , I prefer traveling by ourselves might be the best way to travel . 
",travel,15,0
"Traveling by ourselves might cost higher , but you are able to plan the trip freely as you think and do what ever you want to make it satisfied . 
",Traveling,0,0
"Traveling by ourselves might cost higher , but you are able to plan the trip freely as you think and do what ever you want to make it satisfied . 
",cost,4,0
"I am sure this kind of trip will be greater than going in a group led by a tour guide .
",be,8,0
"People who prefare studying one languages sue do nt have time for that because there is many things in life take aolt of human s time . 
",prefare,2,0
"One reason that a human could have amny social prblems make him confused and not consetrating on his studying so it is better for him to study one subject . 
",have,6,0
"One reason that a human could have amny social prblems make him confused and not consetrating on his studying so it is better for him to study one subject . 
",amny,7,0
"One reason that a human could have amny social prblems make him confused and not consetrating on his studying so it is better for him to study one subject . 
",make,10,0
"One reason that a human could have amny social prblems make him confused and not consetrating on his studying so it is better for him to study one subject . 
",consetrating,15,0
"One reason that a human could have amny social prblems make him confused and not consetrating on his studying so it is better for him to study one subject . 
",study,26,1
"For eaxample , if a person studied business administration and spend all his time and energy for it he will became amazing in his career and job . 
",spend,10,0
"On the other hand , having broad knowledge it s may be good to haver a well informations about many things in this life but i disagree to have many knowledge of many academic subjects because it is wasting for time espcially if the person has a familly and childrens , it would be difficult for him to take care of his family and his studying at the same time . 
",have,28,0
"the family need time to spend with because it s the main ting in this life and from the good family grow good peple . 
",spend,5,0
"the family need time to spend with because it s the main ting in this life and from the good family grow good peple . 
",s,9,0
"the family need time to spend with because it s the main ting in this life and from the good family grow good peple . 
",grow,21,0
"But when one of the perents do nt have time for thier family that would reflect in a negative way at childrens . 
",do,6,0
"But when one of the perents do nt have time for thier family that would reflect in a negative way at childrens . 
",have,8,0
"But when one of the perents do nt have time for thier family that would reflect in a negative way at childrens . 
",reflect,15,0
"I think having one subject to so study or not , well ... 
",think,1,0
"To complete my opinion , I agree to spend part of study for stage , it is more important because it is between study and work . 
",complete,1,0
"To complete my opinion , I agree to spend part of study for stage , it is more important because it is between study and work . 
",agree,6,0
"To complete my opinion , I agree to spend part of study for stage , it is more important because it is between study and work . 
",spend,8,0
"The issue of whether successful people try new things and take risks rather than the people who do only what they already know is interesting one . 
",try,6,0
"The issue of whether successful people try new things and take risks rather than the people who do only what they already know is interesting one . 
",take,10,0
"In my opinion , the successful people should have challenging spirits . 
",have,8,0
"First of all , the most succesfull people have been something of challengers to date . 
",have,8,0
"But , I can safely say that people never get the chance to be success if they only do what have been manualized and never want to take any risks because everybody can do the same things in the same way . 
",say,5,0
"But , I can safely say that people never get the chance to be success if they only do what have been manualized and never want to take any risks because everybody can do the same things in the same way . 
",get,9,0
"But , I can safely say that people never get the chance to be success if they only do what have been manualized and never want to take any risks because everybody can do the same things in the same way . 
",be,13,0
"But , I can safely say that people never get the chance to be success if they only do what have been manualized and never want to take any risks because everybody can do the same things in the same way . 
",do,18,0
"But , I can safely say that people never get the chance to be success if they only do what have been manualized and never want to take any risks because everybody can do the same things in the same way . 
",have,20,0
"In other word , nobody can stand out from the crowd without new challengings which make person distinguished from others . 
",stand,6,0
"In other word , nobody can stand out from the crowd without new challengings which make person distinguished from others . 
",make,15,0
"I agree that most advertisements make products seem much better than they really are . 
",agree,1,0
"I agree that most advertisements make products seem much better than they really are . 
",make,5,0
"Those kind of things should have happeded to most people . 
",have,5,0
"Those kind of things should have happeded to most people . 
",happeded,6,0
"I understand that they are doing business and they are trying to get more customers and sell the products . 
",understand,1,0
"However , I do nt thing they should make advertisement make products seem better than they really are for three reasons . 
",do,3,0
"However , I do nt thing they should make advertisement make products seem better than they really are for three reasons . 
",make,8,0
"However , I do nt thing they should make advertisement make products seem better than they really are for three reasons . 
",seem,12,0
"Finally , the company might be complained by the customers . 
",be,5,0
"The customers will not buy the same product if they are disapointted by the product which were showed nicer than they really are . 
",buy,4,0
"The product wil be popular only the begining and the profit will not get any better or get worse . 
",be,3,0
"Although , people get more desapointted and sad if the difference is so big . 
",get,3,0
"From my perspective , in twenty years time there will be fewer cars circulating above all in big cities . 
",be,10,0
"Lastly also public transports like highspeed trains are being developed and I think that in a twenty years time all the major city of Europe will be reachable in a very short time , making useless the car also fo long journeys . 
",be,26,0
"Educational programs in primary school teach the children to prefer to go to school with bicicle or with the schoolbus instead of with their parents and their own car and are spreading a ecological conscience in new generations . 
",teach,5,0
"Educational programs in primary school teach the children to prefer to go to school with bicicle or with the schoolbus instead of with their parents and their own car and are spreading a ecological conscience in new generations . 
",prefer,9,0
"Educational programs in primary school teach the children to prefer to go to school with bicicle or with the schoolbus instead of with their parents and their own car and are spreading a ecological conscience in new generations . 
",go,11,0
"As a conclusion , I believe that owning a car could be always useful , but the ecological awareness will make people use their car less .
",believe,5,0
"Even though sometimes , in particular when traveling for a short amount of time , being in an organized group with a guide can be more effective , I generally prefer to travel on my own . 
",travel,32,1
"In summary , to experience a different culture . 
",experience,4,0
"When you travel in a group , you often end up with people from your country , who speak your language and want to eat known food , in known places . 
",travel,2,1
"When you travel in a group , you often end up with people from your country , who speak your language and want to eat known food , in known places . 
",end,9,0
"When you travel in a group , you often end up with people from your country , who speak your language and want to eat known food , in known places . 
",speak,18,0
"When you travel in a group , you often end up with people from your country , who speak your language and want to eat known food , in known places . 
",want,22,0
"When you travel in a group , you often end up with people from your country , who speak your language and want to eat known food , in known places . 
",eat,24,0
"Also , tour guides generally focus on the typical tourist attractions , because that s what most people are interested in . 
",focus,5,0
"Also , tour guides generally focus on the typical tourist attractions , because that s what most people are interested in . 
",s,14,0
"I like to read books about my destination before I travel , so that by the time I am there , I already have a rough mental plan of what I would like to see . 
",like,1,0
"I like to read books about my destination before I travel , so that by the time I am there , I already have a rough mental plan of what I would like to see . 
",read,3,0
"I like to read books about my destination before I travel , so that by the time I am there , I already have a rough mental plan of what I would like to see . 
",travel,10,0
"Doing so offers much more flexibility than traveling in a group . 
",Doing,0,0
"You can choose exactly where to go and when , regardless of what the majority considers interesting . 
",choose,2,0
"You can choose exactly where to go and when , regardless of what the majority considers interesting . 
",go,6,1
"Some people like to visit churches , others museums or even shopping malls . 
",visit,4,0
"Some people like to visit churches , others museums or even shopping malls . 
",museums,8,0
"When you travel in a group you almost always have to find a compromise and rarely end up being completely satisfied . 
",travel,2,1
"When you travel in a group you almost always have to find a compromise and rarely end up being completely satisfied . 
",have,9,0
"When you travel in a group you almost always have to find a compromise and rarely end up being completely satisfied . 
",find,11,0
"I like to get lost in interesting streets , to try to interact with local people and to see how they walk , shop and talk in their own country . 
",like,1,0
"I like to get lost in interesting streets , to try to interact with local people and to see how they walk , shop and talk in their own country . 
",get,3,0
"I find it much more satisfying , than just using English or Italian , my mother tongue . 
",find,1,0
"Based on my experience , I also believe that people react much better when they see that you are traveling on your own and that you respect their culture and try to blend in , instead of being in a large group , looking at them through the reassuring cultural lens of a guide , as if they were exotic animals in a zoo .
",Based,0,0
"Based on my experience , I also believe that people react much better when they see that you are traveling on your own and that you respect their culture and try to blend in , instead of being in a large group , looking at them through the reassuring cultural lens of a guide , as if they were exotic animals in a zoo .
",believe,7,0
"Based on my experience , I also believe that people react much better when they see that you are traveling on your own and that you respect their culture and try to blend in , instead of being in a large group , looking at them through the reassuring cultural lens of a guide , as if they were exotic animals in a zoo .
",react,10,0
"Based on my experience , I also believe that people react much better when they see that you are traveling on your own and that you respect their culture and try to blend in , instead of being in a large group , looking at them through the reassuring cultural lens of a guide , as if they were exotic animals in a zoo .
",see,15,0
"I think the category of young people should be divided in different groups . 
",think,1,0
"I think the category of young people should be divided in different groups . 
",be,8,0
"Surely the first division should be of two big groups : teens and young people from 20 to 26 . 
",be,5,0
"Teens should go on studying becouse , as we now , their help to their communitie will be bigger if they can do some usefull work . 
",go,2,0
"But at the same time I think , in that period , a teen must hold a part of the day for his couriosity . 
",think,6,0
"But at the same time I think , in that period , a teen must hold a part of the day for his couriosity . 
",hold,15,0
"People from 20 to 26 , that is the category in which I am , could yet be a worker on could still be a student . 
",be,17,0
"People from 20 to 26 , that is the category in which I am , could yet be a worker on could still be a student . 
",be,23,0
"And I think in both of the situations they are helping their communitie . 
",think,2,0
"Obviously there could be some exceptions of people that , for different reasons , do nt found their own way . 
",be,3,0
"Obviously there could be some exceptions of people that , for different reasons , do nt found their own way . 
",do,14,0
"Than , In Italy , we can decide to give social services to society , also stopping to study for a year , and work in hospitals or old people s houses or something similar . 
",decide,7,0
"Than , In Italy , we can decide to give social services to society , also stopping to study for a year , and work in hospitals or old people s houses or something similar . 
",give,9,0
"But I always think the better way to help your communities it is to find your own position as worker inside the system . 
",think,3,0
"But I always think the better way to help your communities it is to find your own position as worker inside the system . 
",help,8,0
"And to do that young people must do what they do . 
",do,2,0
"I really would like to understand becouse I read statements like this from when I was child . 
",like,3,0
"I really would like to understand becouse I read statements like this from when I was child . 
",understand,5,0
"I really would like to understand becouse I read statements like this from when I was child . 
",read,8,0
"I think that the past world wars did private young people of their youth . 
",think,1,0
"So when I realize that I m living in a really beatiful time and in a really comfortable place I think that is a must of mine going on to study , improve my work and enjoy my self . 
",realize,3,0
"So when I realize that I m living in a really beatiful time and in a really comfortable place I think that is a must of mine going on to study , improve my work and enjoy my self . 
",m,6,0
"And when I do all of this things I think I m helping my communitie .
",do,3,0
"And when I do all of this things I think I m helping my communitie .
",think,9,0
"And when I do all of this things I think I m helping my communitie .
",m,11,0
"I agree with the statement that it is better for a person to have a broad knowledge of many academic subjects rather than to specialize in one specific subject . 
",agree,1,0
"Specialization can be a good thing in life , it helps a person to be good at what he does and be effecient in his work . 
",be,2,0
"Lets say for example , a person takes biology , history and phsycology . 
",say,1,0
"I could choose to know everything about one certain topic but that limits my knowledge to that one topic . 
",choose,2,0
"I could choose to know everything about one certain topic but that limits my knowledge to that one topic . 
",know,4,0
"They begin to understand the fact that he is good at what he does but also has interest for many other things . 
",begin,1,0
"They begin to understand the fact that he is good at what he does but also has interest for many other things . 
",understand,3,0
"In high school , i ve always chosen different electives like music , french and also computer lessons . 
",ve,5,0
"I could argue and talk in different areas with different types of people , it gives a good impression and also makes my life interesting to learn new stuff and facts everyday . 
",argue,2,0
"I could argue and talk in different areas with different types of people , it gives a good impression and also makes my life interesting to learn new stuff and facts everyday . 
",talk,4,0
"It s better to have a broad knowledge of many academic subjects . 
",s,1,0
"It s better to have a broad knowledge of many academic subjects . 
",have,4,0
"To learn different facts everyday gives color to the mind . 
",learn,1,0
"Speacializing in one specific subject , is much more effective than having a broad knowledge of many academic subjects . 
",Speacializing,0,0
"Therefore , i would rather speacialize in one area inorder to shine and be known for my uniqeness in this area . 
",speacialize,5,0
"Therefore , i would rather speacialize in one area inorder to shine and be known for my uniqeness in this area . 
",shine,11,0
"Therefore , i would rather speacialize in one area inorder to shine and be known for my uniqeness in this area . 
",be,13,0
"In the past years there would be one doctor whom you went to , it didnt matter what you were feeling , whether it was a pain in your stomache or or a problem with your eye sight you still went to the doctor . 
",be,6,0
"Furthermore , have a look at teachers . 
",have,2,0
"Not only that but take Science as an example , not only did we have a teacher for science , but we had a different teacher for Physics , Biology and Chemistry . 
",take,4,0
"oving on to university we start choosing our major . 
",oving,0,0
"Take buisness for example . 
",Take,0,0
"You speacilize in major and you find the different smaller topic in buisness , which shows you how speacilized it is . 
",speacilize,1,0
"You speacilize in major and you find the different smaller topic in buisness , which shows you how speacilized it is . 
",find,6,0
"What i am trying to prove here , is that this decsion is already made , no one is able to take lots of subjects and not speaclize in one major . 
",i,1,0
"You only have the opportuinty to choose one major , and sometimes you are able to choose a double major , since some subjects are related to each other , like business and accounting . 
",have,2,0
"You only have the opportuinty to choose one major , and sometimes you are able to choose a double major , since some subjects are related to each other , like business and accounting . 
",choose,6,0
"By speacilizing in one subject , you find it easier to find a job after university , and when you start working its motivating and self - fullfilling to feel that you know your major well , and this makes you like your job and appreciate it . 
",speacilizing,1,0
"By speacilizing in one subject , you find it easier to find a job after university , and when you start working its motivating and self - fullfilling to feel that you know your major well , and this makes you like your job and appreciate it . 
",find,7,0
"By speacilizing in one subject , you find it easier to find a job after university , and when you start working its motivating and self - fullfilling to feel that you know your major well , and this makes you like your job and appreciate it . 
",find,11,0
"By speacilizing in one subject , you find it easier to find a job after university , and when you start working its motivating and self - fullfilling to feel that you know your major well , and this makes you like your job and appreciate it . 
",start,20,0
"This is why it is very important to choose your major carefully , since this will be the subject you will speacilize in and live with . 
",be,16,0
"Although some people prefer to travel in a group because of the easiness and safetiness , I would like to travel by myself or with a only few friends . 
",prefer,3,0
"Although some people prefer to travel in a group because of the easiness and safetiness , I would like to travel by myself or with a only few friends . 
",travel,5,1
"Although some people prefer to travel in a group because of the easiness and safetiness , I would like to travel by myself or with a only few friends . 
",like,18,0
"Although some people prefer to travel in a group because of the easiness and safetiness , I would like to travel by myself or with a only few friends . 
",travel,20,0
"In that case , it had better travel in a group and have a tour guide . 
",have,12,0
"I can stay in bed late , or wake up early morning and enjoy the sunrise . 
",stay,2,0
"I can stay in bed late , or wake up early morning and enjoy the sunrise . 
",wake,8,0
"I can stay in bed late , or wake up early morning and enjoy the sunrise . 
",enjoy,13,0
"Therefore , I can more enjoy the trip without . 
",enjoy,5,0
"Travering with a group is usually more costly than traveling individually . 
",Travering,0,0
"The tour group usually rent a larger van or bus and reserve the higher grade hotel and restaurants to fullfill the satisfaction of all the guests . 
",rent,4,0
"The tour group usually rent a larger van or bus and reserve the higher grade hotel and restaurants to fullfill the satisfaction of all the guests . 
",reserve,11,0
"The tour group usually rent a larger van or bus and reserve the higher grade hotel and restaurants to fullfill the satisfaction of all the guests . 
",fullfill,19,0
"This may not be needed for some people . 
",be,3,0
