token,tp_cases,tn_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
wonderfull,0,0,1,0,1,0.0,#Div0,#Div0
study,0,46,7,0,53,0.0,#Div0,#Div0
claim,0,2,2,0,4,0.0,#Div0,#Div0
fight,0,0,0,4,4,#Div0,0.0,#Div0
sound,0,3,0,2,5,#Div0,0.0,#Div0
isolated,0,0,0,1,1,#Div0,0.0,#Div0
limitations,0,0,0,1,1,#Div0,0.0,#Div0
perception,0,0,0,1,1,#Div0,0.0,#Div0
Second,0,21,2,0,23,0.0,#Div0,#Div0
amny,0,0,1,0,1,0.0,#Div0,#Div0
dagerous,0,0,0,1,1,#Div0,0.0,#Div0
waste,1,0,0,5,6,1.0,0.16666666666666666,0.2857142857142857
comfortably,0,0,0,1,1,#Div0,0.0,#Div0
human,0,18,3,0,21,0.0,#Div0,#Div0
continous,0,0,1,0,1,0.0,#Div0,#Div0
color,0,4,0,1,5,#Div0,0.0,#Div0
promote,0,1,2,1,4,0.0,0.0,#Div0
most,0,95,0,1,96,#Div0,0.0,#Div0
important,0,116,6,0,122,0.0,#Div0,#Div0
do,0,212,138,0,350,0.0,#Div0,#Div0
insure,1,0,0,0,1,1.0,1.0,1.0
think,0,70,156,0,226,0.0,#Div0,#Div0
experienced,0,8,2,0,10,0.0,#Div0,#Div0
liek,0,0,1,0,1,0.0,#Div0,#Div0
complecated,0,0,1,0,1,0.0,#Div0,#Div0
develope,1,4,0,0,5,1.0,1.0,1.0
aspects,0,12,0,2,14,#Div0,0.0,#Div0
forigne,0,0,1,0,1,0.0,#Div0,#Div0
Agreeing,0,0,1,0,1,0.0,#Div0,#Div0
developed,1,8,1,1,11,0.5,0.5,0.5
breaking,0,0,0,1,1,#Div0,0.0,#Div0
beatiful,1,0,0,0,1,1.0,1.0,1.0
white-coloured,0,0,1,0,1,0.0,#Div0,#Div0
lack,0,5,0,2,7,#Div0,0.0,#Div0
impact,0,0,0,1,1,#Div0,0.0,#Div0
nesessarry,0,0,1,0,1,0.0,#Div0,#Div0
stress,0,4,2,0,6,0.0,#Div0,#Div0
underline,0,0,0,1,1,#Div0,0.0,#Div0
earned,0,0,0,2,2,#Div0,0.0,#Div0
abig,0,0,1,0,1,0.0,#Div0,#Div0
shoose,0,3,1,0,4,0.0,#Div0,#Div0
Doing,0,0,4,0,4,0.0,#Div0,#Div0
utopistic,0,0,1,0,1,0.0,#Div0,#Div0
comfortable,0,3,0,7,10,#Div0,0.0,#Div0
competition,0,0,0,1,1,#Div0,0.0,#Div0
line,0,1,0,3,4,#Div0,0.0,#Div0
Modern,0,0,1,0,1,0.0,#Div0,#Div0
struck,0,0,0,1,1,#Div0,0.0,#Div0
joung,0,1,1,0,2,0.0,#Div0,#Div0
connecting,0,0,0,1,1,#Div0,0.0,#Div0
pampered,1,0,0,0,1,1.0,1.0,1.0
tools,0,0,0,5,5,#Div0,0.0,#Div0
summary,0,2,1,0,3,0.0,#Div0,#Div0
d,0,4,1,0,5,0.0,#Div0,#Div0
mamage,0,0,0,1,1,#Div0,0.0,#Div0
experiment,0,4,0,1,5,#Div0,0.0,#Div0
complicatied,0,0,1,0,1,0.0,#Div0,#Div0
bring,0,3,1,4,8,0.0,0.0,#Div0
responds,0,0,0,1,1,#Div0,0.0,#Div0
discoverd,0,0,0,1,1,#Div0,0.0,#Div0
scarce,0,0,1,0,1,0.0,#Div0,#Div0
clean,0,3,1,0,4,0.0,#Div0,#Div0
Beeing,0,0,1,0,1,0.0,#Div0,#Div0
eyes,0,0,0,1,1,#Div0,0.0,#Div0
normal,0,6,3,0,9,0.0,#Div0,#Div0
found,0,19,0,1,20,#Div0,0.0,#Div0
neutral,0,0,0,1,1,#Div0,0.0,#Div0
trafic,0,0,1,0,1,0.0,#Div0,#Div0
Planning,0,0,1,0,1,0.0,#Div0,#Div0
exhaust,0,0,1,0,1,0.0,#Div0,#Div0
dreaming,0,0,0,1,1,#Div0,0.0,#Div0
valued,0,0,0,1,1,#Div0,0.0,#Div0
illustrated,0,1,0,1,2,#Div0,0.0,#Div0
COMPLETE,0,0,1,0,1,0.0,#Div0,#Div0
trave,0,1,1,0,2,0.0,#Div0,#Div0
data,0,4,1,0,5,0.0,#Div0,#Div0
show,0,13,7,0,20,0.0,#Div0,#Div0
focuses,0,0,0,3,3,#Div0,0.0,#Div0
shape,0,2,0,1,3,#Div0,0.0,#Div0
diminish,0,1,0,1,2,#Div0,0.0,#Div0
bond,0,0,0,1,1,#Div0,0.0,#Div0
meet,1,9,5,2,17,0.16666666666666666,0.3333333333333333,0.2222222222222222
platform,0,0,0,1,1,#Div0,0.0,#Div0
spreading,0,0,0,1,1,#Div0,0.0,#Div0
accidently,0,0,0,1,1,#Div0,0.0,#Div0
steady,2,0,0,2,4,1.0,0.5,0.6666666666666666
vertically,0,0,0,1,1,#Div0,0.0,#Div0
associate,0,0,1,0,1,0.0,#Div0,#Div0
telling,0,1,0,1,2,#Div0,0.0,#Div0
era,0,0,0,5,5,#Div0,0.0,#Div0
boths,0,0,1,0,1,0.0,#Div0,#Div0
brith,0,0,0,1,1,#Div0,0.0,#Div0
scratch,0,0,0,1,1,#Div0,0.0,#Div0
selfish,0,3,2,0,5,0.0,#Div0,#Div0
aspect,0,8,0,2,10,#Div0,0.0,#Div0
fantastic,1,0,1,0,2,0.5,1.0,0.6666666666666666
connection,0,0,0,5,5,#Div0,0.0,#Div0
activeusefull,1,0,0,0,1,1.0,1.0,1.0
went,0,14,0,1,15,#Div0,0.0,#Div0
lies,0,1,0,1,2,#Div0,0.0,#Div0
engine,0,0,0,2,2,#Div0,0.0,#Div0
maintain,0,2,1,0,3,0.0,#Div0,#Div0
poeple,0,4,1,0,5,0.0,#Div0,#Div0
