token,tp_cases,tn_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
by,0,259,0,3,262,#Div0,0.0,#Div0
population,0,17,0,1,18,#Div0,0.0,#Div0
balance,0,0,0,1,1,#Div0,0.0,#Div0
lose,0,3,0,8,11,#Div0,0.0,#Div0
incorrect,0,1,0,1,2,#Div0,0.0,#Div0
protect,0,1,0,3,4,#Div0,0.0,#Div0
reaching,0,0,0,5,5,#Div0,0.0,#Div0
suppoting,0,0,0,1,1,#Div0,0.0,#Div0
rare,0,0,0,1,1,#Div0,0.0,#Div0
obtain,0,4,0,5,9,#Div0,0.0,#Div0
angles,0,1,0,1,2,#Div0,0.0,#Div0
huge,0,11,0,1,12,#Div0,0.0,#Div0
picturelize,0,0,0,1,1,#Div0,0.0,#Div0
consume,0,1,0,2,3,#Div0,0.0,#Div0
gives,0,12,0,14,26,#Div0,0.0,#Div0
obstacles,0,0,0,1,1,#Div0,0.0,#Div0
disappear,0,3,0,1,4,#Div0,0.0,#Div0
refocus,0,0,0,1,1,#Div0,0.0,#Div0
view,0,7,0,6,13,#Div0,0.0,#Div0
dreaming,0,0,0,1,1,#Div0,0.0,#Div0
sons,0,0,0,1,1,#Div0,0.0,#Div0
forming,0,0,0,2,2,#Div0,0.0,#Div0
struck,0,0,0,1,1,#Div0,0.0,#Div0
conscience,0,0,0,2,2,#Div0,0.0,#Div0
short,0,13,0,1,14,#Div0,0.0,#Div0
leading,0,0,0,2,2,#Div0,0.0,#Div0
town,0,1,0,2,3,#Div0,0.0,#Div0
visibility,0,0,0,2,2,#Div0,0.0,#Div0
forbidden,0,0,0,1,1,#Div0,0.0,#Div0
warmth,0,0,0,1,1,#Div0,0.0,#Div0
gather,0,1,0,2,3,#Div0,0.0,#Div0
lower,0,4,0,1,5,#Div0,0.0,#Div0
position,0,6,0,3,9,#Div0,0.0,#Div0
move,0,13,1,1,15,0.0,0.0,#Div0
comforatable,0,0,0,1,1,#Div0,0.0,#Div0
sustaine,0,0,0,1,1,#Div0,0.0,#Div0
losing,0,0,0,4,4,#Div0,0.0,#Div0
sector,0,1,0,1,2,#Div0,0.0,#Div0
