token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
wring,0,1,0,0,1,0.0,#Div0,#Div0
weed,0,0,0,1,1,#Div0,0.0,#Div0
barrier,0,0,0,1,1,#Div0,0.0,#Div0
bumped-into,0,3,0,0,3,0.0,#Div0,#Div0
defended,0,0,0,6,6,#Div0,0.0,#Div0
striveparticularly,0,1,0,0,1,0.0,#Div0,#Div0
Everything,0,2,0,0,2,0.0,#Div0,#Div0
limited-government,0,1,0,0,1,0.0,#Div0,#Div0
confer,0,1,0,0,1,0.0,#Div0,#Div0
agree,0,5,7,0,12,0.0,#Div0,#Div0
untouchable,0,1,0,0,1,0.0,#Div0,#Div0
cloak,0,3,0,0,3,0.0,#Div0,#Div0
steady,0,0,3,0,3,#Div0,#Div0,#Div0
multi-faceted,0,1,0,0,1,0.0,#Div0,#Div0
social,0,2,28,0,30,0.0,#Div0,#Div0
traffic,0,1,0,0,1,0.0,#Div0,#Div0
self-defense,0,1,0,0,1,0.0,#Div0,#Div0
guide,0,2,0,0,2,0.0,#Div0,#Div0
pure,0,1,0,0,1,0.0,#Div0,#Div0
Korean,0,0,1,0,1,#Div0,#Div0,#Div0
triumph,0,0,0,1,1,#Div0,0.0,#Div0
violent,0,0,4,0,4,#Div0,#Div0,#Div0
chief,0,2,3,0,5,0.0,#Div0,#Div0
associate,0,5,0,0,5,0.0,#Div0,#Div0
realm,0,0,0,1,1,#Div0,0.0,#Div0
growth,0,0,0,3,3,#Div0,0.0,#Div0
hack,1,1,0,0,2,0.5,1.0,0.6666666666666666
defend,12,22,0,0,34,0.35294117647058826,1.0,0.5217391304347826
erect,0,1,0,0,1,0.0,#Div0,#Div0
golden,0,2,0,0,2,0.0,#Div0,#Div0
while,0,1,0,0,1,0.0,#Div0,#Div0
beg,0,1,0,0,1,0.0,#Div0,#Div0
spew,0,1,0,0,1,0.0,#Div0,#Div0
proclaim,0,1,0,0,1,0.0,#Div0,#Div0
bother,0,1,0,0,1,0.0,#Div0,#Div0
vinous,0,1,0,0,1,0.0,#Div0,#Div0
two-man,0,1,0,0,1,0.0,#Div0,#Div0
ridiculous,0,2,0,0,2,0.0,#Div0,#Div0
flit,0,1,0,0,1,0.0,#Div0,#Div0
vocal,0,1,0,0,1,0.0,#Div0,#Div0
yield,0,2,0,0,2,0.0,#Div0,#Div0
global,0,2,9,0,11,0.0,#Div0,#Div0
limits,0,0,0,1,1,#Div0,0.0,#Div0
rival,0,1,0,0,1,0.0,#Div0,#Div0
round up,0,0,0,1,1,#Div0,0.0,#Div0
dedicate,0,5,0,0,5,0.0,#Div0,#Div0
better-off,0,1,0,0,1,0.0,#Div0,#Div0
national,0,1,13,0,14,0.0,#Div0,#Div0
forget,0,3,0,0,3,0.0,#Div0,#Div0
retreats,0,0,0,1,1,#Div0,0.0,#Div0
decrease,3,9,0,2,14,0.25,0.6,0.35294117647058826
check,0,1,0,0,1,0.0,#Div0,#Div0
redeem,0,1,0,0,1,0.0,#Div0,#Div0
unchecked,0,1,0,0,1,0.0,#Div0,#Div0
good,0,9,6,0,15,0.0,#Div0,#Div0
boost,0,1,0,0,1,0.0,#Div0,#Div0
bogus,0,3,0,0,3,0.0,#Div0,#Div0
rap,0,1,0,0,1,0.0,#Div0,#Div0
'm,0,14,0,0,14,0.0,#Div0,#Div0
target,0,3,0,0,3,0.0,#Div0,#Div0
nominal,0,1,0,0,1,0.0,#Div0,#Div0
ask,0,9,0,0,9,0.0,#Div0,#Div0
inhibiting,0,0,0,1,1,#Div0,0.0,#Div0
legitimate,0,0,2,0,2,#Div0,#Div0,#Div0
shaped,0,0,0,1,1,#Div0,0.0,#Div0
money-maddened,0,1,0,0,1,0.0,#Div0,#Div0
duel,0,0,0,1,1,#Div0,0.0,#Div0
first,0,15,0,0,15,0.0,#Div0,#Div0
internal,0,1,3,0,4,0.0,#Div0,#Div0
insufficient,0,1,0,0,1,0.0,#Div0,#Div0
Consumer-Driven,0,2,0,0,2,0.0,#Div0,#Div0
Starting,0,1,0,0,1,0.0,#Div0,#Div0
wield,0,1,0,0,1,0.0,#Div0,#Div0
rush,0,1,0,0,1,0.0,#Div0,#Div0
post-how,0,1,0,0,1,0.0,#Div0,#Div0
preserve,1,7,0,0,8,0.125,1.0,0.2222222222222222
foes,0,0,0,1,1,#Div0,0.0,#Div0
command,2,0,0,0,2,1.0,1.0,1.0
clamor,0,1,0,0,1,0.0,#Div0,#Div0
experiment,0,4,0,4,8,0.0,0.0,#Div0
prevents,0,0,0,1,1,#Div0,0.0,#Div0
notable,0,1,0,0,1,0.0,#Div0,#Div0
move,0,10,0,0,10,0.0,#Div0,#Div0
dying,0,0,0,2,2,#Div0,0.0,#Div0
anti,0,9,0,0,9,0.0,#Div0,#Div0
wereif,0,1,0,0,1,0.0,#Div0,#Div0
reaffirm,0,1,0,0,1,0.0,#Div0,#Div0
partial,0,1,0,0,1,0.0,#Div0,#Div0
flee,0,1,0,0,1,0.0,#Div0,#Div0
God,0,0,0,1,1,#Div0,0.0,#Div0
schedule,0,1,0,0,1,0.0,#Div0,#Div0
Japanese,0,0,1,0,1,#Div0,#Div0,#Div0
dangerous,1,0,4,4,9,1.0,0.2,0.33333333333333337
evolution,0,0,0,1,1,#Div0,0.0,#Div0
stave,0,3,0,0,3,0.0,#Div0,#Div0
bottomless pit,0,0,0,1,1,#Div0,0.0,#Div0
decreasing,0,1,0,3,4,0.0,0.0,#Div0
regulatory,0,0,2,0,2,#Div0,#Div0,#Div0
heart,0,0,0,2,2,#Div0,0.0,#Div0
disintegrate,0,1,0,0,1,0.0,#Div0,#Div0
fable,0,0,0,1,1,#Div0,0.0,#Div0
encompass,0,1,0,0,1,0.0,#Div0,#Div0
protect,27,32,0,0,59,0.4576271186440678,1.0,0.627906976744186
victim,0,0,0,2,2,#Div0,0.0,#Div0
alone,0,2,0,0,2,0.0,#Div0,#Div0
freak,0,1,0,0,1,0.0,#Div0,#Div0
gun-free,0,1,0,0,1,0.0,#Div0,#Div0
injure,0,1,0,0,1,0.0,#Div0,#Div0
parade,0,1,0,0,1,0.0,#Div0,#Div0
manufactures,0,0,0,2,2,#Div0,0.0,#Div0
continue,0,24,0,0,24,0.0,#Div0,#Div0
evaporates,0,0,0,2,2,#Div0,0.0,#Div0
