token,tp_cases,fp_cases,fn_cases,total_cases,precision,recall,f1-score
healthy,1,0,0,1,1.0,1.0,1.0
divided,0,0,1,1,#Div0,0.0,#Div0
overpushed,0,0,1,1,#Div0,0.0,#Div0
successfull,0,2,0,2,0.0,#Div0,#Div0
price,0,0,1,1,#Div0,0.0,#Div0
avoided,0,0,1,1,#Div0,0.0,#Div0
bright,0,1,1,2,0.0,0.0,#Div0
electricity-lowered,0,0,0,1,#Div0,#Div0,#Div0
mental,0,2,0,4,0.0,#Div0,#Div0
pop,0,0,1,1,#Div0,0.0,#Div0
goal,0,0,2,2,#Div0,0.0,#Div0
enemys,0,0,1,1,#Div0,0.0,#Div0
curly,0,0,0,1,#Div0,#Div0,#Div0
restrictions,0,0,2,2,#Div0,0.0,#Div0
strange,0,3,0,3,0.0,#Div0,#Div0
fat,0,1,0,1,0.0,#Div0,#Div0
English,0,0,0,1,#Div0,#Div0,#Div0
find,0,0,6,6,#Div0,0.0,#Div0
sign,0,0,2,2,#Div0,0.0,#Div0
avaliable,0,1,0,1,0.0,#Div0,#Div0
selling,0,0,1,1,#Div0,0.0,#Div0
international,0,1,0,1,0.0,#Div0,#Div0
approaching,0,0,1,1,#Div0,0.0,#Div0
cheap,1,3,0,4,0.25,1.0,0.4
fast,0,2,1,3,0.0,0.0,#Div0
monthly,0,0,0,1,#Div0,#Div0,#Div0
technological,0,4,0,4,0.0,#Div0,#Div0
deeply,0,0,2,2,#Div0,0.0,#Div0
horizontal,0,0,5,5,#Div0,0.0,#Div0
majority,0,0,1,1,#Div0,0.0,#Div0
made,0,0,1,1,#Div0,0.0,#Div0
lose,0,0,4,4,#Div0,0.0,#Div0
with,0,0,2,2,#Div0,0.0,#Div0
limits,0,0,2,2,#Div0,0.0,#Div0
shift,0,0,1,1,#Div0,0.0,#Div0
underlined,0,0,1,1,#Div0,0.0,#Div0
channels,0,0,1,1,#Div0,0.0,#Div0
chase,0,0,1,1,#Div0,0.0,#Div0
flexible,1,0,2,3,1.0,0.3333333333333333,0.5
beleive,0,1,0,1,0.0,#Div0,#Div0
left,0,0,1,1,#Div0,0.0,#Div0
many,0,180,0,199,0.0,#Div0,#Div0
behind,0,0,2,2,#Div0,0.0,#Div0
case,0,0,1,1,#Div0,0.0,#Div0
direction,0,0,1,1,#Div0,0.0,#Div0
secure,0,0,1,1,#Div0,0.0,#Div0
sharp,1,0,0,1,1.0,1.0,1.0
cheating,0,0,2,2,#Div0,0.0,#Div0
ultimate,0,1,0,1,0.0,#Div0,#Div0
earned,0,0,1,1,#Div0,0.0,#Div0
population,0,0,1,1,#Div0,0.0,#Div0
Cambodian,0,1,0,1,0.0,#Div0,#Div0
shier,0,0,1,1,#Div0,0.0,#Div0
collected,0,0,1,1,#Div0,0.0,#Div0
closed,0,0,1,1,#Div0,0.0,#Div0
stuffed,0,0,1,1,#Div0,0.0,#Div0
waste,0,0,2,2,#Div0,0.0,#Div0
running,0,0,2,2,#Div0,0.0,#Div0
higher,0,0,3,3,#Div0,0.0,#Div0
upon,0,0,1,1,#Div0,0.0,#Div0
future,0,6,0,7,0.0,#Div0,#Div0
ethical,0,2,0,2,0.0,#Div0,#Div0
comfortable,2,2,4,8,0.5,0.3333333333333333,0.4
beyond,0,0,1,1,#Div0,0.0,#Div0
battles,0,0,1,1,#Div0,0.0,#Div0
vibrant,0,0,1,1,#Div0,0.0,#Div0
settle,0,0,1,1,#Div0,0.0,#Div0
Excellent,0,1,0,1,0.0,#Div0,#Div0
kings,0,0,1,1,#Div0,0.0,#Div0
total,0,2,0,3,0.0,#Div0,#Div0
Japanese,0,5,0,8,0.0,#Div0,#Div0
straight,0,0,1,1,#Div0,0.0,#Div0
extract,0,0,1,1,#Div0,0.0,#Div0
touched,0,0,2,2,#Div0,0.0,#Div0
matured,0,1,0,1,0.0,#Div0,#Div0
emerge,0,0,1,1,#Div0,0.0,#Div0
bad,0,8,0,12,0.0,#Div0,#Div0
little,1,13,0,17,0.07142857142857142,1.0,0.13333333333333333
held,0,0,1,1,#Div0,0.0,#Div0
village,0,0,1,1,#Div0,0.0,#Div0
amazing,0,1,0,1,0.0,#Div0,#Div0
get,0,0,8,8,#Div0,0.0,#Div0
romantic,0,1,0,1,0.0,#Div0,#Div0
suit,0,0,1,1,#Div0,0.0,#Div0
unnatural,0,1,0,1,0.0,#Div0,#Div0
lovely,0,1,0,1,0.0,#Div0,#Div0
reaching,0,0,3,3,#Div0,0.0,#Div0
happy,0,2,0,2,0.0,#Div0,#Div0
deep-snow,0,0,0,1,#Div0,#Div0,#Div0
experiment,0,0,2,2,#Div0,0.0,#Div0
