token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
common,0,4,1,0,5,0.0,#Div0,#Div0
handicaps,0,0,0,1,1,#Div0,0.0,#Div0
trail,0,0,0,1,1,#Div0,0.0,#Div0
powerful,0,5,3,0,8,0.0,#Div0,#Div0
pure,0,0,1,0,1,#Div0,#Div0,#Div0
hopeful,0,2,0,0,2,0.0,#Div0,#Div0
maims,0,0,0,1,1,#Div0,0.0,#Div0
representative,0,0,2,0,2,#Div0,#Div0,#Div0
substantial,0,1,0,0,1,0.0,#Div0,#Div0
fight,0,0,0,27,27,#Div0,0.0,#Div0
guerrilla-controlled,0,1,0,0,1,0.0,#Div0,#Div0
tiny,0,0,1,0,1,#Div0,#Div0,#Div0
unstable,0,1,0,0,1,0.0,#Div0,#Div0
credible,0,1,0,0,1,0.0,#Div0,#Div0
presidential,0,5,2,0,7,0.0,#Div0,#Div0
unattractive,0,1,0,0,1,0.0,#Div0,#Div0
republican,0,1,0,0,1,0.0,#Div0,#Div0
civilian,0,1,1,0,2,0.0,#Div0,#Div0
progressive,0,4,0,0,4,0.0,#Div0,#Div0
out,0,3,0,0,3,0.0,#Div0,#Div0
compelling,0,1,0,0,1,0.0,#Div0,#Div0
increased,0,0,1,2,3,#Div0,0.0,#Div0
executive,0,1,2,0,3,0.0,#Div0,#Div0
ridiculous,0,2,0,0,2,0.0,#Div0,#Div0
normal,0,0,1,0,1,#Div0,#Div0,#Div0
extracts,0,0,0,1,1,#Div0,0.0,#Div0
boiling,0,0,0,1,1,#Div0,0.0,#Div0
enough,0,1,1,0,2,0.0,#Div0,#Div0
billion-plus,0,0,1,0,1,#Div0,#Div0,#Div0
impoverished,0,1,0,0,1,0.0,#Div0,#Div0
defensive,0,1,0,0,1,0.0,#Div0,#Div0
long,0,4,2,0,6,0.0,#Div0,#Div0
unthinking,0,2,0,0,2,0.0,#Div0,#Div0
spineless,0,0,1,0,1,#Div0,#Div0,#Div0
Indian,0,0,1,0,1,#Div0,#Div0,#Div0
buys,0,0,0,1,1,#Div0,0.0,#Div0
Run-related,0,1,0,0,1,0.0,#Div0,#Div0
posthumous,0,1,0,0,1,0.0,#Div0,#Div0
electoral,0,1,0,0,1,0.0,#Div0,#Div0
decreased,0,0,0,2,2,#Div0,0.0,#Div0
tough,0,2,0,0,2,0.0,#Div0,#Div0
thin,0,0,1,0,1,#Div0,#Div0,#Div0
captures,0,0,0,2,2,#Div0,0.0,#Div0
guardian,0,0,0,4,4,#Div0,0.0,#Div0
robbing,0,0,0,1,1,#Div0,0.0,#Div0
