token,tp_cases,fp_cases,tn_cases,fn_cases,total_cases,precision,recall,f1-score
lawful,0,0,4,0,4,#Div0,#Div0,#Div0
Suffered,0,0,1,0,1,#Div0,#Div0,#Div0
Arguing,0,0,1,0,1,#Div0,#Div0,#Div0
iron-fitted,0,0,1,0,1,#Div0,#Div0,#Div0
face,0,0,7,0,7,#Div0,#Div0,#Div0
lax,0,0,1,0,1,#Div0,#Div0,#Div0
undermine,0,0,1,0,1,#Div0,#Div0,#Div0
extraordinary,0,0,1,0,1,#Div0,#Div0,#Div0
shaping,0,0,0,2,2,#Div0,0.0,#Div0
reintroduce,0,0,1,0,1,#Div0,#Div0,#Div0
following,0,0,1,0,1,#Div0,#Div0,#Div0
pledge,0,0,1,0,1,#Div0,#Div0,#Div0
dismiss,0,0,1,0,1,#Div0,#Div0,#Div0
social,0,0,29,0,29,#Div0,#Div0,#Div0
eleven,0,0,1,0,1,#Div0,#Div0,#Div0
lassies-faire,0,0,1,0,1,#Div0,#Div0,#Div0
replace,0,0,3,0,3,#Div0,#Div0,#Div0
re-celebrate,0,0,2,0,2,#Div0,#Div0,#Div0
meet,0,0,6,0,6,#Div0,#Div0,#Div0
such,0,0,9,0,9,#Div0,#Div0,#Div0
rape,0,0,3,0,3,#Div0,#Div0,#Div0
heap,0,0,1,0,1,#Div0,#Div0,#Div0
informal,0,0,1,0,1,#Div0,#Div0,#Div0
states.The,0,0,2,0,2,#Div0,#Div0,#Div0
nimrod,0,0,2,0,2,#Div0,#Div0,#Div0
IS,0,0,3,0,3,#Div0,#Div0,#Div0
surround,0,0,2,0,2,#Div0,#Div0,#Div0
false,0,0,8,0,8,#Div0,#Div0,#Div0
ideal,0,0,1,0,1,#Div0,#Div0,#Div0
disrupt,0,0,1,0,1,#Div0,#Div0,#Div0
call,0,3,10,0,13,0.0,#Div0,#Div0
bolster,0,0,3,0,3,#Div0,#Div0,#Div0
6-,0,0,1,0,1,#Div0,#Div0,#Div0
unmask,0,0,0,2,2,#Div0,0.0,#Div0
associate,0,0,5,0,5,#Div0,#Div0,#Div0
voracious,0,0,1,0,1,#Div0,#Div0,#Div0
lose,0,0,15,0,15,#Div0,#Div0,#Div0
persist,0,0,1,0,1,#Div0,#Div0,#Div0
.decades,0,0,1,0,1,#Div0,#Div0,#Div0
second,0,0,7,0,7,#Div0,#Div0,#Div0
average,0,0,1,0,1,#Div0,#Div0,#Div0
mega,0,0,1,0,1,#Div0,#Div0,#Div0
divert,0,0,3,0,3,#Div0,#Div0,#Div0
decide,0,0,6,0,6,#Div0,#Div0,#Div0
vital,0,0,2,0,2,#Div0,#Div0,#Div0
ersatz-democracy,0,0,1,0,1,#Div0,#Div0,#Div0
libertarian,0,0,2,0,2,#Div0,#Div0,#Div0
African,0,0,2,0,2,#Div0,#Div0,#Div0
recognize,0,0,2,0,2,#Div0,#Div0,#Div0
yearlong,0,0,1,0,1,#Div0,#Div0,#Div0
orientate,0,0,1,0,1,#Div0,#Div0,#Div0
guerrilla-controlled,0,0,1,0,1,#Div0,#Div0,#Div0
sacred,0,0,0,11,11,#Div0,0.0,#Div0
risk,0,0,1,0,1,#Div0,#Div0,#Div0
celebrate,0,0,4,0,4,#Div0,#Div0,#Div0
would-be,0,0,1,0,1,#Div0,#Div0,#Div0
oligarchythe,0,0,1,0,1,#Div0,#Div0,#Div0
question,0,0,1,0,1,#Div0,#Div0,#Div0
carry,0,0,11,0,11,#Div0,#Div0,#Div0
admit,0,0,1,0,1,#Div0,#Div0,#Div0
rural,0,0,3,0,3,#Div0,#Div0,#Div0
send,0,0,1,0,1,#Div0,#Div0,#Div0
wouldnt,0,0,1,0,1,#Div0,#Div0,#Div0
bother,0,0,1,0,1,#Div0,#Div0,#Div0
ordinary,0,0,2,0,2,#Div0,#Div0,#Div0
take,0,0,53,0,53,#Div0,#Div0,#Div0
flit,0,0,1,0,1,#Div0,#Div0,#Div0
grant,0,0,4,0,4,#Div0,#Div0,#Div0
listen,0,0,2,0,2,#Div0,#Div0,#Div0
terrible,0,0,1,0,1,#Div0,#Div0,#Div0
Increased,0,0,1,0,1,#Div0,#Div0,#Div0
suit,0,0,3,0,3,#Div0,#Div0,#Div0
reinforce,0,0,7,2,9,#Div0,0.0,#Div0
attempt,0,0,1,0,1,#Div0,#Div0,#Div0
middle,0,0,8,0,8,#Div0,#Div0,#Div0
endure,0,0,3,0,3,#Div0,#Div0,#Div0
right-wing,0,0,2,0,2,#Div0,#Div0,#Div0
Governmental,0,0,1,0,1,#Div0,#Div0,#Div0
expose,0,0,3,0,3,#Div0,#Div0,#Div0
technological,0,0,2,0,2,#Div0,#Div0,#Div0
value,0,0,2,0,2,#Div0,#Div0,#Div0
steal,0,0,25,15,40,#Div0,0.0,#Div0
quiet,0,0,1,0,1,#Div0,#Div0,#Div0
be,0,0,833,0,833,#Div0,#Div0,#Div0
invisible,0,0,2,0,2,#Div0,#Div0,#Div0
primary,0,0,6,0,6,#Div0,#Div0,#Div0
mutual,0,0,1,0,1,#Div0,#Div0,#Div0
realize,0,0,9,0,9,#Div0,#Div0,#Div0
aim,0,0,2,0,2,#Div0,#Div0,#Div0
steady,0,0,3,0,3,#Div0,#Div0,#Div0
draconian,0,0,1,0,1,#Div0,#Div0,#Div0
intravenous,0,0,1,0,1,#Div0,#Div0,#Div0
serve,0,0,7,0,7,#Div0,#Div0,#Div0
wide,0,0,2,0,2,#Div0,#Div0,#Div0
sustainable,0,0,1,0,1,#Div0,#Div0,#Div0
simple,0,0,4,0,4,#Div0,#Div0,#Div0
do,0,0,175,0,175,#Div0,#Div0,#Div0
fill,0,0,3,0,3,#Div0,#Div0,#Div0
strike,0,1,0,0,1,0.0,#Div0,#Div0
fuck,0,0,2,0,2,#Div0,#Div0,#Div0
discredit,0,0,1,0,1,#Div0,#Div0,#Div0
emerge,0,0,2,0,2,#Div0,#Div0,#Div0
erode,0,0,2,1,3,#Div0,0.0,#Div0
loose,0,0,1,0,1,#Div0,#Div0,#Div0
mask,0,0,1,0,1,#Div0,#Div0,#Div0
personal,0,0,8,0,8,#Div0,#Div0,#Div0
silly,0,0,5,0,5,#Div0,#Div0,#Div0
get,0,0,53,0,53,#Div0,#Div0,#Div0
statewide,0,0,3,0,3,#Div0,#Div0,#Div0
owe,0,0,1,0,1,#Div0,#Div0,#Div0
exploit,0,1,0,0,1,0.0,#Div0,#Div0
perform,0,0,1,0,1,#Div0,#Div0,#Div0
Willing,0,0,1,0,1,#Div0,#Div0,#Div0
